,index,SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,Popularity Points Awarded,Has Word Love?
7,7,'65 Love AffairPaul Davis,Paul Davis,'65 Love Affair,"['album rock', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",5nBp8F6tekSrnFg8G2Pvug,https://p.scdn.co/mp3-preview/a701445830ecacfb521200da9507753586200453?cid=b8d3901151d34489a160e3cf0ab1fa94,219813.0,False,Radio Hits Of the '80s,0.647,0.686,2.0,-4.247,0.0,0.0274,0.432,6e-06,0.133,0.952,155.697,4.0,40.0,1300.0,True
38,38,(Can't Live Without Your) Love And AffectionNelson,Nelson,(Can't Live Without Your) Love And Affection,"['classic country pop', 'country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",3JjY2L2bqql54j1SjnjQ23,,236435.0,False,After The Rain (Remastered),0.543,0.902,1.0,-6.344,1.0,0.0393,0.0354,0.0,0.0609,0.8549999999999999,121.419,4.0,47.0,1598.0,True
48,48,(Doin' The) Lovers LeapWebb Pierce,Webb Pierce,(Doin' The) Lovers Leap,"['honky tonk', 'rockabilly']",,,,,,,,,,,,,,,,,,,13.0,True
52,52,(Every Time I Turn Around) Back In Love AgainLTD,LTD,(Every Time I Turn Around) Back In Love Again,['reggaeton'],,,,,,,,,,,,,,,,,,,1330.0,True
59,59,"(Girls, Girls, Girls) Made To LoveEddie Hodges",Eddie Hodges,"(Girls, Girls, Girls) Made To Love",[],4PeZdZt3Mf46SfsL6Gj1EY,https://p.scdn.co/mp3-preview/6d5a4642f5e2503d56c7b45c22a82adf56737020?cid=b8d3901151d34489a160e3cf0ab1fa94,150666.0,False,Hit Singles - EP,0.61,0.377,9.0,-9.805,1.0,0.0935,0.4139999999999999,0.0,0.0734,0.519,178.06,4.0,16.0,754.0,True
71,71,(I Believe) There's Nothing Stronger Than Our LovePaul Anka/Odia Coates,Paul Anka/Odia Coates,(I Believe) There's Nothing Stronger Than Our Love,,,,,,,,,,,,,,,,,,,,868.0,True
72,72,(I Can Feel Those Vibrations) This Love Is RealJackie Wilson,Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",2QM3bCcmAwiuwDvhIispV8,https://p.scdn.co/mp3-preview/341d37a9332998e830abfbcdb46bf65a6dd8139c?cid=b8d3901151d34489a160e3cf0ab1fa94,175146.0,False,The Ultimate Jackie Wilson,0.63,0.8,2.0,-6.002,1.0,0.15,0.4289999999999999,0.0,0.3,0.7359999999999999,120.811,4.0,26.0,305.0,True
73,73,(I Can Feel Your Love) Slipping AwayBarbara Mason,Barbara Mason,(I Can Feel Your Love) Slipping Away,"['classic soul', 'funk', 'motown', 'philly soul', 'quiet storm', 'southern soul']",37kJMIJyTv96Tns8QgsOJn,https://p.scdn.co/mp3-preview/0692f0732a4bf399249151bcc57edd0d62138b5b?cid=b8d3901151d34489a160e3cf0ab1fa94,199626.0,False,Cooler Than Ice: Arctic Records and the Rise of Philly Soul,0.44,0.4269999999999999,0.0,-5.455,1.0,0.0254,0.563,0.0,0.2949999999999999,0.335,77.412,3.0,16.0,4.0,True
79,79,(I Don't Care) Only Love MeSteve Lawrence,Steve Lawrence,(I Don't Care) Only Love Me,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']",2tve82MQkxXX1WsdxpI4sk,,153600.0,False,The Best Of,0.56,0.516,5.0,-12.275,0.0,0.183,0.468,0.000107,0.1729999999999999,0.8249999999999998,141.812,4.0,13.0,85.0,True
80,80,(I Don't Want To Love You But) You Got Me AnywaySutherland Brothers And Quiver,Sutherland Brothers And Quiver,(I Don't Want To Love You But) You Got Me Anyway,['classic uk pop'],,,,,,,,,,,,,,,,,,,429.0,True
88,88,(I Love You) Don't You Forget ItPerry Como,Perry Como,(I Love You) Don't You Forget It,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']",,,,,,,,,,,,,,,,,,,370.0,True
92,92,(I Wanna) Love My Life AwayGene Pitney,Gene Pitney,(I Wanna) Love My Life Away,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']",1fNR9tY52D1V79V5eNqxxx,https://p.scdn.co/mp3-preview/5be4e9acd6d2bf25525372ae5811c06a7f5789a2?cid=b8d3901151d34489a160e3cf0ab1fa94,114906.0,False,The Best Of Gene Pitney,0.548,0.694,0.0,-9.356000000000002,1.0,0.0359,0.811,5.4e-05,0.5959999999999999,0.924,136.36,4.0,26.0,341.0,True
114,114,(if You Add) All The Love In The WorldMac Davis,Mac Davis,(if You Add) All The Love In The World,"['bubblegum pop', 'country rock']",1P7yXlWH1VjAlu8x1cawmb,https://p.scdn.co/mp3-preview/e2a485c347ff96be72541be9844b5d8509a52615?cid=b8d3901151d34489a160e3cf0ab1fa94,213106.0,False,The Best Of Mac Davis,0.371,0.433,10.0,-10.908,1.0,0.0343,0.66,1.3e-05,0.1029999999999999,0.3589999999999999,159.27,4.0,5.0,147.0,True
115,115,"(If You Cry) True Love, True LoveThe Drifters",The Drifters,"(If You Cry) True Love, True Love","['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",2mfo3AK0aZzTGcXD0LnLqx,https://p.scdn.co/mp3-preview/be6dadb63180875512f1ab3dbdd1458c5f16920b?cid=b8d3901151d34489a160e3cf0ab1fa94,141426.0,False,Up On The Roof: The Best Of The Drifters,0.511,0.2359999999999999,0.0,-14.496,1.0,0.043,0.67,0.0,0.0953,0.196,141.222,4.0,16.0,583.0,True
116,116,(If You Let Me Make Love To You Then) Why Can't I Touch You?Ronnie Dyson,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You?,['classic soul'],5QQOXL6qvhobRG7zfjQCXW,https://p.scdn.co/mp3-preview/087b7171b494a0ee6c3e319c3456d48192e903b7?cid=b8d3901151d34489a160e3cf0ab1fa94,203746.0,False,(If You Let Me Make Love To You Then) Why Can't I Touch You? (Expanded Edition),0.398,0.692,0.0,-8.596,1.0,0.045,0.496,0.0,0.394,0.65,93.907,4.0,20.0,930.0,True
118,118,(If You're Not In It For Love) I'm Outta Here!/The Woman In MeShania Twain,Shania Twain,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",,,,,,,,,,,,,,,,,,,184.0,True
122,122,(It's Just) The Way That You Love MePaula Abdul,Paula Abdul,(It's Just) The Way That You Love Me,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'urban contemporary']",,,,,,,,,,,,,,,,,,,1450.0,True
135,135,(Love Is Like A) Baseball GameThe Intruders,The Intruders,(Love Is Like A) Baseball Game,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",4Lg5z4lC7u1GPSeYvHPPi6,https://p.scdn.co/mp3-preview/fdc5c1b14a372e1d56923af89add6dfcaefb2a74?cid=b8d3901151d34489a160e3cf0ab1fa94,165920.0,False,Cowboys to Girls,0.654,0.539,0.0,-7.825,1.0,0.0274,0.748,0.0,0.168,0.8489999999999999,88.97799999999998,4.0,25.0,435.0,True
136,136,(Love Is) Thicker Than WaterAndy Gibb,Andy Gibb,(Love Is) Thicker Than Water,"['adult standards', 'bubblegum pop', 'country rock', 'disco', 'mellow gold', 'soft rock']",5WdF8jm3hBNi1t9qlqdjsE,,255960.0,False,Flowing Rivers,0.5859999999999999,0.463,6.0,-9.929,0.0,0.0252,0.129,7.1e-05,0.0757,0.551,96.479,4.0,45.0,2105.0,True
137,137,(Love Me) Love The Life I LeadThe Fantastics,The Fantastics,(Love Me) Love The Life I Lead,[],7pgKdLyCfjnrBLXJfbFLzg,https://p.scdn.co/mp3-preview/46713b5bc4b81ac8f8793c30cf376ba787c6d52d?cid=b8d3901151d34489a160e3cf0ab1fa94,186521.0,False,The Fantastics,0.3559999999999999,0.549,9.0,-12.198,1.0,0.0574,0.35,0.0,0.0583,0.784,78.331,4.0,0.0,51.0,True
138,138,(Love Theme From) One Eyed JacksFerrante & Teicher,Ferrante & Teicher,(Love Theme From) One Eyed Jacks,"['adult standards', 'easy listening', 'exotica', 'lounge']",,,,,,,,,,,,,,,,,,,323.0,True
144,144,(New In) The Ways Of LoveTommy Edwards,Tommy Edwards,(New In) The Ways Of Love,"['deep adult standards', 'doo-wop']",4pNXt2MMFvTSBOkOPWjD8r,,159640.0,False,It’s All In The Game: The Best Of Tommy Edwards,0.386,0.322,7.0,-13.018,0.0,0.032,0.7149999999999999,0.0,0.0544,0.508,178.668,3.0,9.0,303.0,True
154,154,(Our Love) Don't Throw It All AwayAndy Gibb,Andy Gibb,(Our Love) Don't Throw It All Away,"['adult standards', 'bubblegum pop', 'country rock', 'disco', 'mellow gold', 'soft rock']",1RsxUuB1Q5OdseLpHMBkEN,,250200.0,False,Shadow Dancing,0.3489999999999999,0.3439999999999999,5.0,-13.206,1.0,0.0526,0.3589999999999999,0.000129,0.6029999999999999,0.228,142.441,4.0,48.0,1296.0,True
155,155,(Pride) In The Name Of LoveU2,U2,(Pride) In The Name Of Love,"['irish rock', 'permanent wave', 'rock']",3dh2LlmeMqKJbzn2WUgt3d,,228426.0,False,The Unforgettable Fire (Remastered),0.464,0.8389999999999999,4.0,-7.106,1.0,0.0329,0.0016,0.000326,0.6009999999999999,0.75,105.756,4.0,60.0,679.0,True
158,158,(Remember Me) I'm The One Who Loves YouDean Martin,Dean Martin,(Remember Me) I'm The One Who Loves You,"['adult standards', 'easy listening', 'lounge']",7Jm0gQhWuBMzp0TI4ydm3D,https://p.scdn.co/mp3-preview/c79cd87c30e6fe74e5767ce6866cd20f30d322e8?cid=b8d3901151d34489a160e3cf0ab1fa94,145320.0,False,The Essential Dean Martin,0.4749999999999999,0.507,1.0,-13.103,1.0,0.0372,0.646,1e-05,0.24,0.59,113.364,4.0,36.0,367.0,True
165,165,(She's A) Very Lovely Woman/The Long Way AroundLinda Ronstadt,Linda Ronstadt,(She's A) Very Lovely Woman/The Long Way Around,"['adult standards', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'singer-songwriter', 'soft rock']",,,,,,,,,,,,,,,,,,,109.0,True
171,171,(Shu-Doo-Pa-Poo-Poop) Love Being Your FoolTravis Wammack,Travis Wammack,(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,[],,,,,,,,,,,,,,,,,,,372.0,True
188,188,"(The Story Of) Woman, Love And A Man (Part 1)Tony Clarke",Tony Clarke,"(The Story Of) Woman, Love And A Man (Part 1)",['northern soul'],,,,,,,,,,,,,,,,,,,13.0,True
195,195,(Theme From) Love StoryHenry Mancini And His Orchestra,Henry Mancini And His Orchestra,(Theme From) Love Story,[],,,,,,,,,,,,,,,,,,,777.0,True
215,215,(We've Got) Honey LoveMartha Reeves & The Vandellas,Martha Reeves & The Vandellas,(We've Got) Honey Love,"['adult standards', 'brill building pop', 'classic girl group', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",2Gj1vc5Z4cX673brTMDe8W,,149133.0,False,Ridin' High,0.7179999999999999,0.652,1.0,-7.51,1.0,0.154,0.4919999999999999,0.000135,0.152,0.649,116.764,4.0,10.0,182.0,True
216,216,(Welcome) New LoversPat Boone,Pat Boone,(Welcome) New Lovers,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",657T90Nnp6WpwhZ8oyBCiU,https://p.scdn.co/mp3-preview/0c3b58f9f2885583a36c4557fa83dab33c880af9?cid=b8d3901151d34489a160e3cf0ab1fa94,135735.0,False,Greatest Hits Live,0.5819999999999999,0.438,8.0,-16.499,1.0,0.0388,0.927,0.762,0.511,0.8369999999999999,119.192,4.0,4.0,778.0,True
217,217,(What A Sad Way) To Love SomeoneRal Donner,Ral Donner,(What A Sad Way) To Love Someone,[],2cC2EUQRiQEQPuqpBWTUr5,https://p.scdn.co/mp3-preview/272815fdcfc1c157aeebab0a172b7201519b2065?cid=b8d3901151d34489a160e3cf0ab1fa94,179957.0,False,The Complete Donner 1959-1962,0.61,0.232,3.0,-17.007,1.0,0.0287,0.86,7.2e-05,0.106,0.539,79.108,4.0,2.0,114.0,True
219,219,(what) In The Name Of LoveNaked Eyes,Naked Eyes,(what) In The Name Of Love,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",1Y1f545iaGofOJo4qya2e5,https://p.scdn.co/mp3-preview/4e74b36089e20072645e6ad56bed63b03236776d?cid=b8d3901151d34489a160e3cf0ab1fa94,267066.0,False,Fuel for the Fire,0.7049999999999998,0.751,4.0,-12.224,0.0,0.0385,0.0646,0.000172,0.0881,0.8329999999999999,113.482,4.0,31.0,526.0,True
222,222,(Where Do I Begin) Love StoryAndy Williams,Andy Williams,(Where Do I Begin) Love Story,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",45FLu3nL1iMYXYPzhqLdko,https://p.scdn.co/mp3-preview/297509014f3c52a874cc9bd7c888eb22a627bdce?cid=b8d3901151d34489a160e3cf0ab1fa94,189066.0,False,Love Story,0.259,0.4729999999999999,6.0,-10.187,1.0,0.0324,0.512,2e-06,0.4,0.232,84.897,4.0,57.0,914.0,True
237,237,(You Were Made For) All My LoveJackie Wilson,Jackie Wilson,(You Were Made For) All My Love,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",5ZPv7iC9p3qaTgaFbouI3O,https://p.scdn.co/mp3-preview/7788d9fbd344782656f18dca7fa94973f9f472a3?cid=b8d3901151d34489a160e3cf0ab1fa94,125866.0,False,The Ultimate Jackie Wilson,0.321,0.468,2.0,-4.934,1.0,0.0317,0.898,8e-06,0.113,0.4109999999999999,76.98999999999998,4.0,15.0,864.0,True
239,239,(You're My One And Only) True LoveSeduction,Seduction,(You're My One And Only) True Love,['freestyle'],0symbiCfmFvJDJgR6y8gkf,,230266.0,False,Nothing Matters Without Love,0.665,0.64,10.0,-12.175,0.0,0.052,0.0166,0.00167,0.0636,0.672,104.378,4.0,31.0,991.0,True
249,249,(your Love Has Lifted Me) Higher And HigherRita Coolidge,Rita Coolidge,(your Love Has Lifted Me) Higher And Higher,"['adult standards', 'bubblegum pop', 'classic uk pop', 'country rock', 'mellow gold', 'native american', 'soft rock']",39iKJpLPhsDTOzH2lXliWF,,241720.0,False,Anytime... Anywhere,0.656,0.646,10.0,-9.169,0.0,0.0336,0.0575,0.00464,0.16,0.75,117.586,4.0,44.0,1742.0,True
250,250,(Your Love Keeps Lifting Me) Higher And HigherJackie Wilson,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",4TBBPZks71c60whhq0PgdP,https://p.scdn.co/mp3-preview/715dfaeb3221769b58a3712d492a68f979535883?cid=b8d3901151d34489a160e3cf0ab1fa94,181066.0,False,The Ultimate Jackie Wilson,0.631,0.69,2.0,-6.676,1.0,0.0531,0.1759999999999999,0.0,0.121,0.938,94.574,4.0,70.0,912.0,True
288,288,100% Pure LoveCrystal Waters,Crystal Waters,100% Pure Love,"['disco house', 'diva house', 'hip house', 'vocal house']",0dfQwyoZoS9LgQiU6AJO7f,,278626.0,False,The Best Of Crystal Waters,0.813,0.7109999999999999,5.0,-7.375,0.0,0.0477,0.0888,0.00876,0.0585,0.7369999999999999,120.235,4.0,54.0,3164.0,True
402,402,5-10-15-20 (25-30 Years Of Love)The Presidents,The Presidents,5-10-15-20 (25-30 Years Of Love),"['alternative metal', 'alternative rock', 'comic', 'garage rock', 'grunge', 'pop rock', 'post-grunge', 'rock']",,,,,,,,,,,,,,,,,,,932.0,True
407,407,50 Ways To Leave Your LoverPaul Simon,Paul Simon,50 Ways To Leave Your Lover,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",6Qb7gtV6Q4MnUjSbkFcopl,https://p.scdn.co/mp3-preview/b82d798743c8fae13ce9ba649805a39375569222?cid=b8d3901151d34489a160e3cf0ab1fa94,217346.0,False,Still Crazy After All These Years,0.815,0.372,7.0,-12.814,1.0,0.0752,0.166,0.000116,0.0767,0.2929999999999999,101.684,4.0,70.0,1286.0,True
476,476,A Better LoveLondonbeat,Londonbeat,A Better Love,"['eurodance', 'europop', 'hip house']",1fALXFVWhnXVME9MNCQmt1,,240400.0,False,In The Blood,0.626,0.6029999999999999,9.0,-14.718,1.0,0.0338,0.107,9.8e-05,0.34,0.749,95.734,4.0,17.0,818.0,True
477,477,A Big Hunk O' LoveElvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,A Big Hunk O' Love,,,,,,,,,,,,,,,,,,,,1083.0,True
502,502,"A Deeper Love (From ""Sister Act 2"")Aretha Franklin",Aretha Franklin,"A Deeper Love (From ""Sister Act 2"")","['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",,,,,,,,,,,,,,,,,,,211.0,True
503,503,A Deeper Love/Pride In The Name Of LoveClivilles & Cole,Clivilles & Cole,A Deeper Love/Pride In The Name Of Love,[],,,,,,,,,,,,,,,,,,,620.0,True
516,516,A Fool In LoveIke & Tina Turner,Ike & Tina Turner,A Fool In Love,"['brill building pop', 'classic soul', 'motown', 'soul', 'southern soul']",6Srd24SS5VX3tKztnos6gk,,160626.0,False,The Soul Of Ike & Tina Turner,0.6149999999999999,0.4789999999999999,7.0,-8.429,1.0,0.0644,0.5879999999999999,0.000277,0.272,0.788,127.04,4.0,45.0,697.0,True
532,532,A Groovy Kind Of LoveThe Mindbenders,The Mindbenders,A Groovy Kind Of Love,"['british invasion', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",2xOEmK42jfYwj0biDzNlW2,https://p.scdn.co/mp3-preview/7b54d21f55cff6e8a7d35c1d382a7ef8f0b7bfb3?cid=b8d3901151d34489a160e3cf0ab1fa94,121003.0,False,Um Um Um Um Um Um (Remastered),0.444,0.502,11.0,-13.791,0.0,0.031,0.4719999999999999,1.9e-05,0.115,0.4839999999999999,98.789,4.0,24.0,1026.0,True
546,546,A House Of LoveScott Garrett,Scott Garrett,A House Of Love,[],,,,,,,,,,,,,,,,,,,9.0,True
573,573,A Little Bit Of Love (Is All It Takes)New Edition,New Edition,A Little Bit Of Love (Is All It Takes),"['boy band', 'dance pop', 'funk', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",5Xyvly56qugv3k5Y95eQ9t,,393990.0,False,All For Love (Expanded),0.7289999999999999,0.8619999999999999,5.0,-8.936999999999998,0.0,0.153,0.0665,1.7e-05,0.18,0.4249999999999999,100.162,4.0,10.0,536.0,True
582,582,A Little Feeling (Called Love)Jack Scott,Jack Scott,A Little Feeling (Called Love),"['brill building pop', 'deep adult standards', 'rock-and-roll', 'rockabilly']",4YDV8fPzCCpghxuy0beu4P,,163733.0,False,Capitol Collectors Series,0.4759999999999999,0.164,2.0,-13.843,1.0,0.0303,0.5759999999999998,0.000439,0.1029999999999999,0.247,70.12,4.0,5.0,11.0,True
585,585,A Little In LoveCliff Richard,Cliff Richard,A Little In Love,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'europop', 'mellow gold', 'new wave pop', 'rock-and-roll', 'soft rock']",6IXSfTzUjEsKc9iOvDkIx4,https://p.scdn.co/mp3-preview/098a33598611a272560265f0e319e2fd3515b27f?cid=b8d3901151d34489a160e3cf0ab1fa94,219533.0,False,Love Songs,0.682,0.674,7.0,-10.39,1.0,0.0274,0.0391,0.0,0.307,0.921,117.289,4.0,25.0,1257.0,True
590,590,A Little LoveCorey Hart,Corey Hart,A Little Love,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",7rYipZC5OPXEdhK69Lc8JJ,,252666.0,False,The Singles,0.644,0.8559999999999999,0.0,-10.663,1.0,0.0526,0.0766,0.0,0.0812999999999999,0.542,121.055,4.0,12.0,408.0,True
591,591,A Little LoveJuice Newton,Juice Newton,A Little Love,"['classic country pop', 'country dawn', 'soft rock']",6K1b1cx8qPa6kFMPdtbdLE,,194733.0,False,Quiet Lies,0.6109999999999999,0.807,9.0,-8.660999999999998,1.0,0.0324,0.1419999999999999,0.0114,0.0801999999999999,0.93,144.34,4.0,35.0,384.0,True
594,594,A Little More LoveOlivia Newton-John,Olivia Newton-John,A Little More Love,"['adult standards', 'australian dance', 'bubblegum pop', 'disco', 'mellow gold', 'new wave pop', 'soft rock']",2g5egJm0qwJPKgpblzIHlI,,207013.0,False,Totally Hot,0.7189999999999999,0.4179999999999999,8.0,-14.837,1.0,0.0396,0.0337,0.0132,0.0927,0.506,100.804,4.0,38.0,1644.0,True
611,611,A Love BizarreSheila E.,Sheila E.,A Love Bizarre,"['funk', 'minneapolis sound', 'quiet storm']",5R6ol4f8WCUCWNrB7Ymf99,https://p.scdn.co/mp3-preview/9f1fb3f9f2610b3d6edcaef1576bcd6bbaf2dece?cid=b8d3901151d34489a160e3cf0ab1fa94,736862.0,False,Romance 1600,0.768,0.6119999999999999,1.0,-13.381,1.0,0.0454,0.0217,0.0239,0.0513,0.878,113.798,4.0,46.0,1299.0,True
612,612,A Love Of My OwnCarla Thomas,Carla Thomas,A Love Of My Own,"['classic soul', 'memphis soul', 'motown', 'soul', 'southern soul']",5RmFLhiJu0U2m28BeFC8Jy,https://p.scdn.co/mp3-preview/46df46acbf2f061ef0ff23a0eb7db867cb95ba5b?cid=b8d3901151d34489a160e3cf0ab1fa94,152240.0,False,Gee Whiz,0.2439999999999999,0.3459999999999999,0.0,-8.740999999999998,1.0,0.0302,0.813,0.00171,0.313,0.435,185.453,3.0,27.0,211.0,True
613,613,A Love She Can Count OnThe Miracles,The Miracles,A Love She Can Count On,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']",48n4F3hkCFyf6nVs79zctM,,182666.0,False,OOO Baby Baby: The Anthlogy,0.634,0.4239999999999999,5.0,-10.18,1.0,0.0305,0.191,0.0,0.1439999999999999,0.754,115.74,3.0,29.0,461.0,True
614,614,A Love So FineThe Chiffons,The Chiffons,A Love So Fine,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic girl group', 'doo-wop', 'merseybeat', 'motown', 'rhythm and blues', 'rock-and-roll']",2Z5rJNI4Wdxud3vwm42l4n,,115480.0,False,The Chiffons Absolutetly The Best!,0.515,0.886,0.0,-3.494,1.0,0.0324,0.666,0.0,0.437,0.953,101.227,4.0,14.0,354.0,True
615,615,A Love SongKenny Rogers,Kenny Rogers,A Love Song,"['adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']",3UAbTey1XDtdb9EKQq1lXf,,197706.0,False,Love Will Turn You Around,0.4109999999999999,0.182,1.0,-18.777,1.0,0.0333,0.787,6e-05,0.14,0.18,173.201,4.0,42.0,342.0,True
616,616,A Love That's RealThe Intruders,The Intruders,A Love That's Real,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",7KpERdL8FSWPt0Pc4Nmrcw,https://p.scdn.co/mp3-preview/25f8a6b2eb3b1e554f345fc438b9a98f50d90ccd?cid=b8d3901151d34489a160e3cf0ab1fa94,174933.0,False,The Best Of The Intruders: Cowboys To Girls,0.524,0.4739999999999999,7.0,-10.996,1.0,0.0304,0.4779999999999999,0.0,0.35,0.658,113.773,4.0,19.0,45.0,True
617,617,A Lover's ConcertoMrs. Miller,Mrs. Miller,A Lover's Concerto,"['novelty', 'outsider', 'space age pop']",5Hife6QE6Hnq72Ims8CX96,,153533.0,False,Wil,0.7029999999999998,0.466,7.0,-12.215,1.0,0.1019999999999999,0.463,0.0,0.51,0.774,125.991,4.0,6.0,11.0,True
618,618,A Lover's ConcertoSarah Vaughan,Sarah Vaughan,A Lover's Concerto,"['adult standards', 'bebop', 'cool jazz', 'jazz', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']",5n4Pz0tBeKQkZj5CubLHK6,,168200.0,False,Pop Artistry,0.537,0.4929999999999999,8.0,-10.151,1.0,0.0413,0.7379999999999999,0.0,0.0889999999999999,0.536,112.677,4.0,32.0,158.0,True
619,619,A Lover's ConcertoThe Toys,The Toys,A Lover's Concerto,['thai pop'],1gcY3t8AODYm42HsxVPo8R,https://p.scdn.co/mp3-preview/b5038412ca041bdbfc70608fa7ff38eec835c5db?cid=b8d3901151d34489a160e3cf0ab1fa94,158000.0,False,"The Toys Sing ""A Lover\s Concerto"" and ""Attack!""",0.675,0.74,2.0,-5.551,1.0,0.052,0.633,0.0,0.1489999999999999,0.8359999999999999,123.651,4.0,33.0,1062.0,True
620,620,A Lover's HolidayChange,Change,A Lover's Holiday,"['disco', 'funk', 'jazz funk', 'minneapolis sound', 'post-disco', 'quiet storm']",7AzZ2sNganpJKdsumfvu81,https://p.scdn.co/mp3-preview/5ef9d6cbcdc4c6d5c3fd0eb390b14496ddb87e33?cid=b8d3901151d34489a160e3cf0ab1fa94,384813.0,False,Magical Night (Greatest Hits Special Price),0.921,0.6069999999999999,11.0,-6.047,0.0,0.216,0.0287,0.0297,0.0836999999999999,0.799,116.335,4.0,38.0,562.0,True
621,621,A Lover's PrayerDion & The Belmonts,Dion & The Belmonts,A Lover's Prayer,"['canadian pop', 'dance pop']",1KuUNurxWPWBl9Zdbba4Ce,,139093.0,False,The Best Of Dion & The Belmonts,0.44,0.151,2.0,-17.265,1.0,0.0312,0.956,1e-06,0.1029999999999999,0.1809999999999999,141.02,3.0,22.0,74.0,True
622,622,A Lover's QuestionClyde McPhatter,Clyde McPhatter,A Lover's Question,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",6HBgCYResmsdmOufyHVoNB,https://p.scdn.co/mp3-preview/c9bc0f8e1f84936478039acf2a3adcdb5e68ea1b?cid=b8d3901151d34489a160e3cf0ab1fa94,150266.0,False,Clyde,0.67,0.436,0.0,-11.698,1.0,0.0554,0.887,1.7e-05,0.0609,0.951,83.02299999999998,4.0,39.0,1779.0,True
623,623,A Lover's QuestionErnestine Anderson,Ernestine Anderson,A Lover's Question,['vocal jazz'],,,,,,,,,,,,,,,,,,,3.0,True
624,624,A Lover's QuestionLoggins & Messina,Loggins & Messina,A Lover's Question,"['album rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock', 'yacht rock']",4uniE3cbok1zOTUC64G8Yq,https://p.scdn.co/mp3-preview/293f99b01e459078415a266c87ecb0d03f8e8cfa?cid=b8d3901151d34489a160e3cf0ab1fa94,201626.0,False,So Fine (With Bonus Tracks),0.646,0.4729999999999999,7.0,-10.049,1.0,0.26,0.651,0.00686,0.0859,0.94,77.775,4.0,22.0,22.0,True
625,625,A Lover's QuestionOtis Redding,Otis Redding,A Lover's Question,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']",3pl0zws6JCFYUOuMJQNwB7,https://p.scdn.co/mp3-preview/9b48ef083979e4704eff4cf7258409e148f9a1d7?cid=b8d3901151d34489a160e3cf0ab1fa94,155773.0,False,Love Man,0.671,0.681,10.0,-9.12,0.0,0.1809999999999999,0.2109999999999999,3e-06,0.0452,0.96,162.678,4.0,21.0,277.0,True
