,index,SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,Popularity Points Awarded,Has Word Love?
2783,2783,Bizarre Love TriangleFRENTE!,FRENTE!,Bizarre Love Triangle,[],7sgi66biRYpAXuRZJBDuli,https://p.scdn.co/mp3-preview/84ea2af5eb5f15c2afe37ce6a173ea5c1e6fc9c0?cid=b8d3901151d34489a160e3cf0ab1fa94,119813.0,False,Marvin The Album - 21st Anniversary Edition,0.7379999999999999,0.198,1.0,-10.919,1.0,0.0625,0.906,0.0,0.105,0.682,123.158,4.0,53.0,526.0,True
2784,2784,Bizarre Love TriangleNew Order,New Order,Bizarre Love Triangle,"['alternative rock', 'art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",6wVViUl2xSRoDK2T7dMZbR,https://p.scdn.co/mp3-preview/9919011c37f35242b40b1e6aa8b822af07cee86b?cid=b8d3901151d34489a160e3cf0ab1fa94,263213.0,False,Brotherhoo,0.6129999999999999,0.885,10.0,-7.463,1.0,0.052,0.0804,0.746,0.0997,0.919,118.506,4.0,68.0,4.0,True
2846,2846,Blame It On LoveSmokey Robinson & Barbara Mitchell,Smokey Robinson & Barbara Mitchell,Blame It On Love,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",6rDHv55bgVt78p0gXEr36r,,215906.0,False,Touch The Sky,0.56,0.55,3.0,-7.378,0.0,0.0357,0.625,0.0,0.556,0.261,136.04,4.0,5.0,421.0,True
2867,2867,Bleeding LoveLeona Lewis,Leona Lewis,Bleeding Love,"['australian pop', 'british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'uk pop']",7wZUrN8oemZfsEd1CGkbXE,https://p.scdn.co/mp3-preview/b0aace1f8a27b540a9fd96775d7665e3e2b73029?cid=b8d3901151d34489a160e3cf0ab1fa94,262466.0,False,Spirit,0.638,0.656,5.0,-5.886,1.0,0.0357,0.188,0.0,0.1459999999999999,0.225,104.036,4.0,78.0,3207.0,True
2869,2869,Bless Our LoveGene Chandler,Gene Chandler,Bless Our Love,"['brill building pop', 'chicago soul', 'classic soul', 'doo-wop', 'motown', 'northern soul', 'rhythm and blues', 'soul', 'southern soul']",,,,,,,,,,,,,,,,,,,354.0,True
2888,2888,Blinded By LoveRhythm Syndicate,Rhythm Syndicate,Blinded By Love,[],,,,,,,,,,,,,,,,,,,113.0,True
2914,2914,Blowin' Me Up (With Her Love)JC Chasez,JC Chasez,Blowin' Me Up (With Her Love),[],5nOMJVZ4rsY5PpYiKD15BS,https://p.scdn.co/mp3-preview/11f1783e35d1d370f2b7dd60886794185979305e?cid=b8d3901151d34489a160e3cf0ab1fa94,290200.0,False,Schizophrenic,0.785,0.783,2.0,-3.982,1.0,0.187,0.00877,0.00454,0.072,0.5919999999999999,98.132,4.0,33.0,639.0,True
3061,3061,Book Of LoveThe Raindrops,The Raindrops,Book Of Love,['brill building pop'],,,,,,,,,,,,,,,,,,,203.0,True
3128,3128,Borrowed LoveBingo Boys,Bingo Boys,Borrowed Love,[],,,,,,,,,,,,,,,,,,,94.0,True
3184,3184,Boys Do Fall In LoveRobin Gibb,Robin Gibb,Boys Do Fall In Love,['soft rock'],3kkWD4jESZLL9eXrzJypGH,,227281.0,False,Secret Agent,0.8289999999999998,0.6039999999999999,0.0,-14.044,1.0,0.0304,0.1179999999999999,1.6e-05,0.0746,0.881,125.332,4.0,50.0,590.0,True
3193,3193,Brand New Love Affair (Part I & II)Chicago,Chicago,Brand New Love Affair (Part I & II),"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",,,,,,,,,,,,,,,,,,,134.0,True
3194,3194,Brand New Love AffairJigsaw,Jigsaw,Brand New Love Affair,"['bubblegum pop', 'classic uk pop']",4uIyb1ZY2UUYe0mlXoE5IB,https://p.scdn.co/mp3-preview/08f3cb0c037d9dcb14f717036fa863536ced8a91?cid=b8d3901151d34489a160e3cf0ab1fa94,212720.0,False,Anthology,0.7419999999999999,0.637,4.0,-10.704,1.0,0.0446,0.2079999999999999,2e-06,0.0884999999999999,0.92,110.091,4.0,10.0,145.0,True
3195,3195,Brand New LoverDead Or Alive,Dead Or Alive,Brand New Lover,"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",4JO49IxCMeGdWVtBU5ESAO,https://p.scdn.co/mp3-preview/4ff0296b98a864f75a51cde104748df15789a4eb?cid=b8d3901151d34489a160e3cf0ab1fa94,221066.0,False,That's The Way I Like It: The Best of Dead Or Alive,0.524,0.977,6.0,-4.758,0.0,0.128,0.0172,0.0,0.0681,0.3679999999999999,116.783,4.0,44.0,1104.0,True
3319,3319,Bring Back The Love Of YesterdayThe Dells,The Dells,Bring Back The Love Of Yesterday,"['brill building pop', 'chicago soul', 'classic soul', 'doo-wop', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']",5cenl0ZxXU2bmInlbggGt4,https://p.scdn.co/mp3-preview/118dfdb9aefae6dd822b301abced312b9cf30382?cid=b8d3901151d34489a160e3cf0ab1fa94,232759.0,False,Since I Fell For You,0.4229999999999999,0.534,6.0,-14.465,1.0,0.11,0.639,0.83,0.183,0.6049999999999999,162.055,4.0,11.0,30.0,True
3340,3340,Bring Your Love To MeThe Righteous Brothers,The Righteous Brothers,Bring Your Love To Me,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'motown', 'rock-and-roll']",2Ki680uvSg17E1p7VLZvVL,,140266.0,False,The Moonglow Years,0.559,0.5929999999999999,7.0,-9.96,1.0,0.0466,0.463,0.0,0.23,0.76,119.296,4.0,6.0,45.0,True
3374,3374,Brother Love's Travelling Salvation ShowNeil Diamond,Neil Diamond,Brother Love's Travelling Salvation Show,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",39S2xu12I1IwMVqSvoORSh,,211862.0,False,Brother Love's Travelling Salvation Show,0.4279999999999999,0.432,8.0,-11.58,1.0,0.0288,0.5749999999999998,0.00933,0.0888,0.808,135.142,4.0,59.0,724.0,True
3446,3446,Burning LoveElvis Presley,Elvis Presley,Burning Love,"['adult standards', 'rock-and-roll', 'rockabilly']",7zMUCLm1TN9o9JlLISztxO,https://p.scdn.co/mp3-preview/8120be95b750b8783840768f7d458ba8a4a972fb?cid=b8d3901151d34489a160e3cf0ab1fa94,170293.0,False,Elvis (Fool),0.66,0.748,2.0,-11.206,1.0,0.0284,0.0993,0.00585,0.2829999999999999,0.972,143.549,4.0,69.0,1134.0,True
3468,3468,But For LoveJerry Naylor,Jerry Naylor,But For Love,[],5SX9wQDM4Zbf87SDQoldLH,https://p.scdn.co/mp3-preview/5092669ab6aa2bd4679456090e561a1c651eae1c?cid=b8d3901151d34489a160e3cf0ab1fa94,152600.0,False,Columbia Singles,0.453,0.637,3.0,-8.474,1.0,0.0436,0.753,0.00168,0.518,0.696,105.509,4.0,0.0,100.0,True
3476,3476,But You Know I Love YouDolly Parton,Dolly Parton,But You Know I Love You,"['classic country pop', 'country', 'country dawn']",6ejEerMAcKKp1JpmEorNek,https://p.scdn.co/mp3-preview/858ef2c263c2b2033473352895f657cf02e71cb7?cid=b8d3901151d34489a160e3cf0ab1fa94,198960.0,False,The Essential Dolly Parton,0.52,0.3659999999999999,2.0,-12.277,1.0,0.0627,0.681,4e-06,0.092,0.4249999999999999,83.744,4.0,39.0,356.0,True
3477,3477,But You Know I Love YouThe First Edition,The First Edition,But You Know I Love You,[],5w4orrSeVaMXtvFmGW9YMl,https://p.scdn.co/mp3-preview/4aabe0d5899dbf624b366a09f595fed02f90180d?cid=b8d3901151d34489a160e3cf0ab1fa94,176088.0,False,Country & Western Legend,0.323,0.4759999999999999,7.0,-12.311,1.0,0.0388,0.4879999999999999,0.0,0.1809999999999999,0.6019999999999999,182.892,4.0,13.0,712.0,True
3480,3480,Butta LoveNext,Next,Butta Love,"['boy band', 'dance pop', 'hip hop', 'hip pop', 'minneapolis sound', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']",6fRLVZ4jKzuqyDPlIdbq9q,https://p.scdn.co/mp3-preview/b2564e1049e205751d16859535807d3716891312?cid=b8d3901151d34489a160e3cf0ab1fa94,296400.0,True,Rated Next,0.7349999999999999,0.441,1.0,-8.412,0.0,0.0407,0.0972,0.0,0.0967,0.5909999999999999,108.015,4.0,60.0,1664.0,True
3527,3527,C'mon And Get My LoveD-Mob Introducing Cathy Dennis,D-Mob Introducing Cathy Dennis,C'mon And Get My Love,,,,,,,,,,,,,,,,,,,,1224.0,True
3573,3573,Call It LovePoco,Poco,Call It Love,"['album rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'roots rock', 'singer-songwriter', 'soft rock']",2pFLsd3LCZAxhBzkbql331,https://p.scdn.co/mp3-preview/46eee3d407b9593aad575f73c9137b0db279613e?cid=b8d3901151d34489a160e3cf0ab1fa94,257426.0,False,The Essential Poco,0.546,0.622,9.0,-10.426,1.0,0.0247,0.0722,0.00302,0.193,0.372,104.493,4.0,46.0,878.0,True
3616,3616,Calling Dr. LoveKISS,KISS,Calling Dr. Love,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']",7xD7MvjAdZkx1YICschIuI,,224666.0,False,Rock And Roll Over,0.531,0.876,8.0,-8.12,1.0,0.155,0.681,5e-06,0.2969999999999999,0.523,127.129,4.0,53.0,874.0,True
3617,3617,Calling It LoveAnimotion,Animotion,Calling It Love,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",5F1WAoH2noz4YVEQTCsiHz,,290306.0,False,Obsession: The Best Of Animotion,0.509,0.6189999999999999,6.0,-12.125,1.0,0.04,0.159,3e-06,0.0850999999999999,0.31,107.245,4.0,7.0,263.0,True
3657,3657,"Can You Feel The Love Tonight (From ""The Lion King"")Elton John",Elton John,"Can You Feel The Love Tonight (From ""The Lion King"")","['glam rock', 'mellow gold', 'piano rock']",0EANX0OVKSCcmarY50Xa4p,,241013.0,False,The Lion King,0.309,0.1789999999999999,10.0,-17.077,1.0,0.0337,0.88,0.000346,0.117,0.167,121.498,4.0,60.0,2109.0,True
3674,3674,Can't Buy Me LoveThe Beatles,The Beatles,Can't Buy Me Love,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",3SdingSsFcZDZAyvcJbgAw,,131866.0,False,A Hard Day's Night (Remastered),0.4829999999999999,0.677,0.0,-5.91,1.0,0.0593,0.2829999999999999,0.0,0.321,0.8419999999999999,170.72,4.0,66.0,897.0,True
3688,3688,"Can't Get Enough Of Your Love, BabeBarry White",Barry White,"Can't Get Enough Of Your Love, Babe","['adult standards', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",3mWpUEBYnv9SIFWfixSJFx,,274000.0,False,Can't Get Enough,0.7289999999999999,0.78,5.0,-7.604,1.0,0.0631,0.114,0.106,0.0758999999999999,0.795,111.833,4.0,67.0,884.0,True
3689,3689,Can't Get Enough Of Your LoveTaylor Dayne,Taylor Dayne,Can't Get Enough Of Your Love,"['freestyle', 'hi-nrg', 'new wave pop', 'soft rock']",39owLj3gqY7XN41PC1WO6Q,https://p.scdn.co/mp3-preview/fb64bea825ba3c2c4b617d7515a235b7f1245b0d?cid=b8d3901151d34489a160e3cf0ab1fa94,265893.0,False,Soul Dancing (Expanded Edition),0.691,0.8369999999999999,9.0,-5.09,0.0,0.0353,0.0147,4.5e-05,0.162,0.64,108.175,4.0,38.0,1053.0,True
3703,3703,Can't Give You Anything (but My Love)The Stylistics,The Stylistics,Can't Give You Anything (but My Love),"['adult standards', 'classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul']",21kTu7qodkjvdHJyOCYJra,https://p.scdn.co/mp3-preview/d170c6839d56c1793357f4a79ccbe50a3f339635?cid=b8d3901151d34489a160e3cf0ab1fa94,201572.0,False,Thank You Baby,0.513,0.522,7.0,-16.728,0.0,0.0408,0.504,5e-06,0.26,0.682,112.565,4.0,34.0,199.0,True
3706,3706,Can't Help But Love YouThe Standells,The Standells,Can't Help But Love You,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",7vkbGmcK2YEdsut8IrvFf3,,172200.0,False,The Very Best Of The Standells,0.435,0.762,10.0,-9.796,1.0,0.0316,0.754,0.000314,0.339,0.7279999999999999,107.332,4.0,4.0,49.0,True
3708,3708,"Can't Help Falling In Love (From ""Sliver"")UB40",UB40,"Can't Help Falling In Love (From ""Sliver"")","['reggae fusion', 'uk reggae']",,,,,,,,,,,,,,,,,,,2346.0,True
3709,3709,Can't Help Falling In LoveAl Martino,Al Martino,Can't Help Falling In Love,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",7jpdW7yH8Q1zdWL4W96jxf,,141266.0,False,Capitol Collectors Series,0.1779999999999999,0.4159999999999999,8.0,-14.14,1.0,0.0352,0.0763999999999999,3.9e-05,0.155,0.3539999999999999,150.86,3.0,9.0,287.0,True
3710,3710,Can't Help Falling In LoveAndy Williams,Andy Williams,Can't Help Falling In Love,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",0qYIt9sV6H9DaORhyfQb1n,https://p.scdn.co/mp3-preview/0645b767ac767528803f4b6487ce676f3845991d?cid=b8d3901151d34489a160e3cf0ab1fa94,191866.0,False,The Essential Andy Williams,0.39,0.635,9.0,-9.288,1.0,0.0338,0.0657,6e-05,0.2839999999999999,0.434,128.91,4.0,22.0,21.0,True
3711,3711,Can't Help Falling In LoveChristina Grimmie,Christina Grimmie,Can't Help Falling In Love,"['post-teen pop', 'viral pop']",,,,,,,,,,,,,,,,,,,27.0,True
3712,3712,Can't Help Falling In LoveCorey Hart,Corey Hart,Can't Help Falling In Love,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",5lyPSebYA8ObxGhTHg5xOT,,207893.0,False,The Singles,0.2849999999999999,0.117,9.0,-20.993,1.0,0.0368,0.945,2e-06,0.0654,0.157,132.4,4.0,26.0,726.0,True
3713,3713,Can't Help Falling In LoveElvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,Can't Help Falling In Love,,3WjvOjzfkbaoAqshjIAtsp,https://p.scdn.co/mp3-preview/df239d452b255e0730ae2480761a89874962cf62?cid=b8d3901151d34489a160e3cf0ab1fa94,180160.0,False,Dinner with My Darling,0.393,0.316,2.0,-12.585,1.0,0.0271,0.948,0.000249,0.108,0.33,99.957,3.0,19.0,1272.0,True
3716,3716,"Can't Hide LoveEarth, Wind & Fire","Earth, Wind & Fire",Can't Hide Love,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",6hsQO3hz648zS7t2QyUpfz,https://p.scdn.co/mp3-preview/0ee14a7ab35a1ce440c1c8276676d2c1f6ddb3aa?cid=b8d3901151d34489a160e3cf0ab1fa94,250586.0,False,Gratitude,0.515,0.4119999999999999,5.0,-10.995,0.0,0.033,0.691,0.09,0.0907,0.444,78.352,4.0,54.0,367.0,True
3731,3731,Can't Nobody Love YouSolomon Burke,Solomon Burke,Can't Nobody Love You,"['brill building pop', 'classic soul', 'funk', 'motown', 'soul', 'soul blues', 'southern soul', 'vocal jazz']",1ovGm2RHnWlTmbbtIxd2f8,https://p.scdn.co/mp3-preview/d6c7c5c85685c78c524f09937ddb28f67b4b5deb?cid=b8d3901151d34489a160e3cf0ab1fa94,153960.0,False,Rock 'N Soul,0.5989999999999999,0.3479999999999999,5.0,-10.271,1.0,0.03,0.692,0.0,0.107,0.448,91.542,3.0,52.0,146.0,True
3733,3733,Can't Put A Price On LoveThe Knack,The Knack,Can't Put A Price On Love,"['album rock', 'power pop']",59sjoZaoVRYCJVBQjrctm6,,282533.0,False,But The Little Girls Understand,0.628,0.658,2.0,-6.207,1.0,0.0338,0.555,2.4e-05,0.0919,0.878,184.467,3.0,18.0,160.0,True
3742,3742,Can't Sleep LovePentatonix,Pentatonix,Can't Sleep Love,['a cappella'],1klGbW5a9qTBFUjFfddbmU,https://p.scdn.co/mp3-preview/44e9e407fc2218a7ebcf14a0310f908822f1a166?cid=b8d3901151d34489a160e3cf0ab1fa94,173053.0,False,Pentatonix (Deluxe Version),0.73,0.433,2.0,-7.05,1.0,0.0455,0.0849,0.0,0.169,0.572,94.596,4.0,64.0,2.0,True
